Country/Region,Province/State,Lat,Long,Total_deaths_01_2020,Total_deaths_02_2020,Total_deaths_03_2020,Total_deaths_04_2020,Total_deaths_05_2020,Total_deaths_06_2020,Total_deaths_07_2020,Total_deaths_08_2020,Total_deaths_09_2020,Total_deaths_10_2020,Total_deaths_11_2020,Total_deaths_12_2020,Total_deaths_01_2021,Total_deaths_02_2021,Total_deaths_03_2021,Total_deaths_04_2021,Total_deaths_05_2021,Total_deaths_06_2021,Total_deaths_07_2021,Total_deaths_08_2021,Total_deaths_09_2021,Total_deaths_10_2021,Total_deaths_11_2021,Total_deaths_12_2021,Total_deaths_01_2022,Total_deaths_02_2022,Total_deaths_03_2022,Total_deaths_04_2022,Total_deaths_05_2022,Total_deaths_06_2022,Total_deaths_07_2022,Total_deaths_08_2022,Total_deaths_09_2022,Total_deaths_10_2022,Total_deaths_11_2022,Total_deaths_12_2022,Total_deaths_01_2023,Total_deaths_02_2023,Total_deaths_03_2023
Afghanistan,Unknown,33.93911,67.709953,0,0,4,60,254,739,1275,1406,1462,1533,1763,2189,2400,2443,2484,2625,2944,4871,6708,7118,7204,7280,7308,7356,7414,7598,7670,7683,7705,7723,7748,7777,7800,7822,7833,7849,7882,7896,7896
Albania,Unknown,41.1533,20.1683,0,0,15,31,33,62,157,284,387,509,810,1181,1380,1796,2235,2394,2451,2456,2457,2498,2698,2924,3096,3217,3346,3469,3492,3496,3497,3500,3545,3582,3589,3593,3594,3595,3596,3598,3598
Algeria,Unknown,28.0339,1.6596,0,0,44,450,653,912,1210,1510,1736,1964,2431,2756,2891,2983,3093,3253,3472,3716,4254,5269,5812,5920,6071,6276,6579,6835,6874,6875,6875,6875,6876,6878,6879,6881,6881,6881,6881,6881,6881
Andorra,Unknown,42.5063,1.5218,0,0,12,42,51,52,52,53,53,75,76,84,101,110,115,125,127,127,128,130,130,130,131,140,145,151,155,153,153,153,153,154,155,155,157,165,165,165,165
Angola,Unknown,-11.2027,17.8739,0,0,2,2,4,13,52,108,183,284,348,405,466,508,537,596,766,900,1011,1217,1537,1710,1733,1770,1895,1900,1900,1900,1900,1900,1912,1917,1917,1917,1924,1930,1931,1933,1933
Antarctica,Unknown,-71.9499,23.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,Unknown,17.0608,-61.7964,0,0,0,3,3,3,3,3,3,3,4,5,7,14,28,32,42,42,43,44,79,102,117,119,127,135,135,136,138,141,144,145,146,146,146,146,146,146,146
Argentina,Unknown,-38.4161,-63.6167,0,0,27,218,539,1307,3543,8660,16937,31002,38730,43245,47974,51965,55858,63865,78093,94304,105721,111812,115179,115950,116589,117169,121273,126152,128019,128542,128889,129070,129369,129711,129897,129991,130025,130124,130421,130463,130472
Armenia,Unknown,40.0691,45.0382,0,0,3,32,131,443,738,879,959,1341,2164,2823,3080,3192,3515,4108,4438,4514,4614,4844,5319,6328,7567,7972,8053,8461,8613,8622,8625,8629,8633,8655,8683,8709,8710,8716,8717,8721,8727
Australia,Australian Capital Territory,-35.4735,149.0124,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,13,14,15,26,34,42,51,64,80,92,124,126,127,129,138,152,224,228
Australia,New South Wales,-33.8688,151.2093,0,0,8,41,48,49,50,52,53,53,53,54,54,54,54,54,54,54,68,154,406,572,628,668,1422,1910,2100,2774,3179,3590,4165,4907,5314,5430,5540,5804,6218,6464,6529
Australia,Northern Territory,-12.4634,130.8456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,22,35,43,49,53,55,68,73,75,79,84,87,90,91
Australia,Queensland,-27.4698,153.0251,0,0,2,6,7,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,209,540,740,868,1057,1254,1567,1985,2239,2274,2331,2405,2643,2760,2783
Australia,South Australia,-34.9285,138.6007,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,120,179,259,348,444,533,679,786,946,1029,1067,1155,1235,1333,1365
Australia,Tasmania,-42.8821,147.3272,0,0,1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,25,31,51,76,92,141,180,187,193,201,224,244,252,256
Australia,Victoria,-37.8136,144.9631,0,0,4,18,19,20,116,570,800,819,820,820,820,820,820,820,820,820,820,822,864,1125,1336,1534,2029,2490,2749,2967,3434,3934,4662,5325,5678,5841,6040,6405,7116,7317,7370
Australia,Western Australia,-31.9505,115.8605,0,0,2,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,10,52,148,256,394,504,590,658,696,750,841,920,944,952
Austria,Unknown,47.5162,14.5501,0,0,134,635,741,810,848,903,994,1431,4084,7486,9393,10432,11404,12416,12922,13070,13135,13227,13506,13946,15405,16815,17207,17911,18952,19726,19927,20048,20317,20639,20743,20981,21210,21443,21689,21887,21970
Azerbaijan,Unknown,40.1431,47.5769,0,0,5,24,63,213,448,534,591,730,1392,2641,3132,3220,3567,4517,4913,4974,5023,5636,6525,7074,7856,8358,8734,9417,9692,9709,9713,9717,9748,9805,9917,9944,9980,10008,10085,10119,10138
Bahamas,Unknown,25.025885,-78.035889,0,0,0,11,11,11,14,50,96,144,163,170,176,179,188,199,230,246,287,354,531,643,671,717,746,771,788,798,810,817,822,823,833,833,833,833,833,833,833
Bahrain,Unknown,26.0275,50.55,0,0,4,8,19,87,147,190,251,321,341,352,375,449,521,646,980,1352,1384,1388,1389,1393,1394,1394,1408,1454,1471,1475,1488,1492,1509,1515,1520,1528,1536,1539,1543,1548,1553
Bangladesh,Unknown,23.685,90.3563,0,0,5,168,650,1847,3111,4281,5251,5923,6644,7559,8127,8408,9046,11450,12619,14503,20685,26195,27510,27868,27981,28072,28394,29037,29122,29127,29131,29149,29291,29323,29363,29423,29433,29440,29442,29445,29445
Barbados,Unknown,13.1939,-59.5432,0,0,0,7,7,7,7,7,7,7,7,7,14,33,42,44,47,47,48,50,74,153,229,260,280,316,374,394,450,477,493,542,560,560,567,568,571,575,579
Belarus,Unknown,53.7098,27.9534,0,0,1,89,235,392,559,681,833,980,1158,1424,1718,1976,2247,2542,2851,3143,3454,3780,4143,4631,5081,5578,6052,6480,6819,6947,6978,6978,7118,7118,7118,7118,7118,7118,7118,7118,7118
Belgium,Unknown,50.8333,4.469936,0,0,705,7594,9467,9747,9841,9996,10016,11625,16645,19528,21092,22077,23016,24230,24955,25173,25241,25380,25602,25994,27015,28331,29052,30179,30826,31439,31754,31918,32228,32516,32673,32902,33061,33228,33557,33717,33814
Belize,Unknown,17.1899,-88.4976,0,0,0,2,2,2,2,13,27,59,148,248,301,315,317,323,324,329,337,362,414,491,578,602,625,650,654,676,677,680,680,680,686,687,688,688,688,688,688
Benin,Unknown,9.3077,2.3158,0,0,0,1,3,21,36,40,41,41,43,44,52,70,90,99,101,104,108,128,159,161,161,161,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
Bhutan,Unknown,27.5142,90.4336,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,4,6,10,21,21,21,21,21,21,21,21,21,21,21,21
Bolivia,Unknown,-16.2902,-63.5887,0,0,6,62,313,1123,2977,5027,7965,8725,8957,9165,10379,11649,12257,12951,14524,16767,17821,18452,18735,18925,19171,19680,20951,21438,21894,21910,21948,21953,22061,22198,22237,22239,22247,22299,22346,22365,22365
Bosnia and Herzegovina,Unknown,43.9159,17.6791,0,0,13,69,153,186,339,609,856,1234,2681,4050,4679,5071,6599,8551,9253,9665,9687,9803,10606,11495,12586,13442,14447,15459,15713,15765,15788,15806,15853,16050,16137,16174,16202,16227,16255,16278,16280
Botswana,Unknown,-22.3285,24.6849,0,0,1,1,1,1,2,6,16,24,34,42,134,310,568,712,849,1125,1569,2261,2368,2406,2418,2444,2581,2619,2686,2688,2697,2750,2770,2778,2789,2790,2790,2794,2876,2801,2801
Brazil,Unknown,-14.235,-51.9253,0,0,201,6006,29367,59792,92728,121618,144078,159972,173268,195072,224648,255179,322138,404530,463244,518488,556676,580764,597032,608082,614985,619334,627589,649676,660022,663736,666676,671416,678514,683965,686036,688157,689665,693853,697074,699087,699276
Brunei,Unknown,4.5353,114.7277,0,0,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,42,88,97,98,98,125,208,218,223,225,225,225,225,225,225,225,225,225,225
Bulgaria,Unknown,42.7339,25.4858,0,0,8,66,140,230,383,629,825,1279,4035,7576,9045,10191,13197,16399,17700,18061,18213,18896,20882,23999,28453,30955,33318,35581,36529,36913,37148,37255,37377,37603,37718,37880,38039,38108,38179,38217,38228
Burkina Faso,Unknown,12.2383,-1.5616,0,0,14,43,53,53,53,55,58,67,68,85,120,142,146,157,166,168,169,171,184,214,286,318,366,375,382,383,384,387,387,387,387,387,387,395,396,396,396
Burma,Unknown,21.9162,95.956,0,0,1,6,6,6,6,6,310,1237,1941,2682,3131,3199,3206,3209,3217,3334,9334,15389,17735,18697,19104,19268,19310,19368,19430,19434,19434,19434,19434,19438,19459,19482,19488,19490,19490,19490,19490
Burundi,Unknown,-3.3731,29.9189,0,0,0,1,1,1,1,1,1,1,1,2,2,3,6,6,6,8,9,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
Cabo Verde,Unknown,16.5388,-23.0418,0,0,1,1,4,15,23,40,60,95,105,113,134,147,168,217,264,286,298,313,339,349,350,352,396,401,401,401,402,405,410,410,410,410,412,412,413,413,413
Cambodia,Unknown,11.55,104.9167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,93,214,602,1397,1903,2319,2788,2940,3012,3015,3032,3054,3056,3056,3056,3056,3056,3056,3056,3056,3056,3056,3056,3056
Cameroon,Unknown,3.848,11.5021,0,0,6,61,191,313,391,411,418,426,437,448,462,551,721,1107,1275,1324,1334,1350,1459,1686,1791,1851,1880,1923,1927,1927,1930,1931,1931,1935,1935,1960,1965,1965,1965,1965,1965
Canada,Alberta,53.9333,-116.5765,0,0,8,90,143,154,196,239,267,323,541,1046,1639,1886,1990,2082,2227,2301,2328,2375,2717,3093,3248,3310,3566,3912,4074,4252,4507,4621,4665,4790,4905,5011,5216,5351,5470,5556,5622
Canada,British Columbia,53.7267,-127.6476,0,0,24,111,164,174,195,208,234,263,441,901,1189,1355,1458,1581,1703,1754,1771,1816,1953,2156,2333,2423,2616,2873,2998,3147,3469,3747,3908,4097,4283,4485,4642,4806,5061,5192,5249
Canada,Diamond Princess,0.0,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Canada,Grand Princess,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Manitoba,53.7609,-98.8139,0,0,1,6,7,7,8,14,20,67,312,667,829,895,935,974,1053,1141,1178,1189,1211,1246,1319,1392,1562,1680,1744,1792,1928,2043,2061,2105,2160,2211,2256,2331,2418,2460,2464
Canada,New Brunswick,46.5653,-66.4619,0,0,0,0,0,2,2,2,2,6,7,9,18,27,30,36,43,45,46,46,59,117,125,160,238,304,349,384,416,425,443,462,480,585,609,635,773,825,834
Canada,Newfoundland and Labrador,53.1355,-57.6604,0,0,1,3,3,3,3,3,3,4,4,4,4,6,6,6,6,7,7,7,8,16,18,19,40,66,110,162,182,192,203,223,236,254,271,288,296,311,318
Canada,Northwest Territories,64.8255,-124.8457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,12,12,15,19,21,22,22,22,22,22,22,22,22,22,22,22,22
Canada,Nova Scotia,44.682,-63.7443,0,0,0,28,60,63,64,65,65,65,65,65,65,65,66,67,85,92,93,94,97,100,110,111,142,193,245,314,391,421,467,490,531,583,639,674,715,786,794
Canada,Nunavut,70.2998,-83.1076,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,4,4,4,4,4,4,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7
Canada,Ontario,51.2538,-85.3232,0,0,33,1082,2266,2672,2775,2811,2848,3136,3656,4530,6188,6980,7366,8050,8757,9168,9345,9503,9732,9871,10000,10194,11444,12433,12638,12825,13241,13421,13702,14032,14415,14770,15176,15538,15903,16138,16234
Canada,Prince Edward Island,46.5107,-63.4168,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,18,25,33,35,49,53,59,66,76,82,88,92,93
Canada,Quebec,52.9399,-73.5491,0,0,82,2728,5173,5633,5719,5780,5879,6335,7148,8356,9794,10393,10667,10926,11128,11210,11241,11286,11371,11494,11579,11724,13223,13981,14365,15000,15420,15589,15959,16374,16784,17043,17354,17690,17954,18101,18160
Canada,Repatriated Travellers,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Saskatchewan,52.9399,-106.4509,0,0,2,6,11,13,18,24,24,25,47,155,304,385,436,491,539,568,578,603,695,851,926,955,992,1091,1209,1309,1376,1403,1438,1479,1507,1604,1701,1781,1826,1882,1890
Canada,Yukon,64.2823,-135.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,5,7,8,9,10,13,15,16,21,24,25,26,26,26,30,31,32,32,32,32,32,32
Central African Republic,Unknown,6.6111,20.9394,0,0,0,0,2,47,59,62,62,62,63,63,63,63,67,88,98,98,98,100,100,100,101,101,110,113,113,113,113,113,113,113,113,113,113,113,113,113,113
Chad,Unknown,15.4542,18.7322,0,0,0,5,65,74,75,77,85,98,101,104,118,140,164,170,173,174,174,174,174,174,175,181,190,190,191,193,193,193,193,193,193,194,194,194,194,194,194
Chile,Unknown,-35.6751,-71.543,0,0,12,227,1054,5688,9457,11289,12741,14207,15410,16608,18452,20572,23135,26353,29300,32545,35448,36937,37468,37757,38346,39115,39721,42353,56580,57527,57892,58479,59577,60451,61154,61677,62422,63172,63812,64175,64273
China,Anhui,31.8257,117.2264,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7
China,Beijing,40.1824,116.4142,1,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,20,20,20,20
China,Chongqing,30.0572,107.874,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,9,11,11,11
China,Fujian,26.0789,117.9874,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
China,Gansu,35.7518,104.2861,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
China,Guangdong,23.3417,113.4244,0,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10
China,Guangxi,23.8298,108.7881,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
China,Guizhou,26.8154,106.8748,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
China,Hainan,19.1959,109.7453,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
China,Hebei,39.549,116.1306,1,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
China,Heilongjiang,47.862,127.7615,2,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,18
China,Henan,37.8957,114.9042,2,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23
China,Hong Kong,22.3,114.2,0,2,4,4,4,7,27,89,105,105,109,148,181,199,205,209,210,211,212,212,213,213,213,213,213,744,7825,9308,9378,9401,9503,9690,10161,10397,10747,11807,13353,13459,13467
China,Hubei,30.9756,112.2707,204,2727,3187,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4515,4515,4515
China,Hunan,27.6104,111.7088,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
China,Inner Mongolia,44.0935,113.9448,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,Jiangsu,32.9711,119.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Jiangxi,27.614,115.7221,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
China,Jilin,43.6661,126.1923,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5
China,Liaoning,41.2956,122.6085,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
China,Macau,22.1667,113.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,45,120,121,121
China,Ningxia,37.2692,106.1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Qinghai,35.7452,95.9956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Shaanxi,35.1917,108.8701,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5
China,Shandong,36.3427,118.1498,0,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,10,10,10
China,Shanghai,31.202,121.4491,1,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,391,595,595,595,595,595,595,595,595,595,595,595
China,Shanxi,37.5777,112.2922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
China,Sichuan,30.6171,102.7103,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,7,12,12,12
China,Tianjin,39.3054,117.323,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
China,Tibet,31.6927,88.0924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Unknown,,,0,0,14,60,70,72,72,73,74,75,84,99,143,174,182,185,185,186,199,208,220,230,240,254,270,275,286,291,293,300,311,318,320,323,323,2,78917,82195,82195
China,Xinjiang,41.1129,85.2401,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
China,Yunnan,24.974,101.487,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4
China,Zhejiang,29.1832,120.0934,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colombia,Unknown,4.5709,-74.2973,0,0,16,293,939,3334,10105,19662,25998,31314,36766,43213,53983,59766,63422,73720,88774,106544,120723,124945,126299,127281,128528,129942,134300,138767,139621,139797,139854,140070,140845,141519,141794,141837,141881,141881,142186,142315,142339
Comoros,Unknown,-11.6455,43.3333,0,0,0,0,2,7,7,7,7,7,7,10,93,144,146,146,146,146,147,147,147,147,150,157,160,160,160,160,161,160,160,161,161,161,161,161,161,161,161
Congo (Brazzaville),Unknown,-0.228,15.8277,0,0,0,9,20,37,54,78,114,92,94,108,117,128,135,144,153,165,178,183,193,258,354,367,371,378,385,385,385,385,386,386,386,386,386,386,388,388,388
Congo (Kinshasa),Unknown,-4.0383,21.7587,0,0,8,31,72,170,215,258,272,307,333,591,671,707,743,766,782,924,1038,1059,1084,1091,1107,1205,1278,1335,1337,1337,1338,1371,1390,1400,1443,1445,1455,1462,1463,1464,1464
Costa Rica,Unknown,9.7489,-83.7534,0,0,2,6,10,16,150,436,904,1385,1726,2185,2604,2800,2957,3231,4041,4667,5030,5506,6386,7029,7299,7353,7575,8037,8300,8405,8495,8525,8720,8856,8970,8990,9038,9072,9158,9214,9245
Cote d'Ivoire,Unknown,7.54,-5.5471,0,0,1,14,33,68,102,117,120,126,132,137,154,192,244,286,305,313,329,441,624,695,704,714,785,793,796,799,799,805,811,819,826,827,830,831,833,834,834
Croatia,Unknown,45.1,15.2,0,0,6,69,103,107,145,186,280,546,1786,3920,5027,5526,5947,7081,8026,8206,8259,8334,8640,9220,10899,12538,13827,15069,15563,15828,15987,16065,16313,16702,16908,17142,17316,17596,17877,17971,17987
Cuba,Unknown,21.521757,-77.781167,0,0,6,61,83,86,87,94,122,128,135,146,214,322,424,644,958,1284,2758,5303,7436,8236,8304,8322,8399,8494,8510,8526,8529,8529,8529,8530,8530,8530,8530,8530,8530,8530,8530
Cyprus,Unknown,35.1264,33.4299,0,0,7,15,17,19,19,21,22,25,48,120,198,232,257,309,361,375,420,510,552,575,597,638,733,856,940,1020,1059,1072,1115,1168,1182,1194,1226,1258,1287,1305,1330
Czechia,Unknown,49.8175,15.473,0,0,31,236,320,349,382,424,655,3251,8295,11580,16308,20339,26421,29267,30108,30303,30373,30404,30459,30753,33069,36129,37209,38592,39692,40155,40288,40318,40477,40829,41104,41580,41882,42131,42307,42436,42491
Denmark,Faroe Islands,61.8926,-6.9118,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,13,14,18,28,28,28,28,28,28,28,28,28,28,28,28,28,28
Denmark,Greenland,71.7069,-42.6043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,18,21,21,21,21,21,21,21,21,21,21,21,21,21
Denmark,Unknown,56.2639,9.5018,0,0,90,452,574,605,615,624,650,721,837,1298,2125,2361,2419,2483,2516,2534,2549,2584,2656,2714,2895,3267,3755,4612,5698,6158,6363,6469,6639,6923,7074,7347,7532,7758,8145,8265,8296
Diamond Princess,Unknown,0.0,0.0,0,6,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Djibouti,Unknown,11.8251,42.5903,0,0,0,2,24,54,58,60,61,61,61,61,63,63,70,143,154,155,156,157,167,181,186,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
Dominica,Unknown,15.415,-61.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,32,38,47,51,57,63,63,65,68,68,68,74,74,74,74,74,74,74
Dominican Republic,Unknown,18.7357,-70.1627,0,0,51,301,502,747,1160,1710,2105,2245,2331,2414,2666,3100,3325,3480,3628,3822,3963,4008,4046,4130,4204,4247,4307,4368,4375,4376,4377,4383,4383,4384,4384,4384,4384,4384,4384,4384,4384
Ecuador,Unknown,-1.8312,-78.1834,0,0,75,900,3358,4527,5702,6556,11355,12670,13461,14034,14859,15811,16847,18631,20572,21560,31631,32259,32784,32980,33296,33681,34533,35223,35421,35598,35637,35725,35801,35843,35894,35920,35940,35940,35942,36008,36014
Egypt,Unknown,26.820553,30.802498,0,0,46,392,959,2953,4805,5421,5930,6266,6650,7631,9316,10688,11995,13339,15096,16169,16524,16736,17331,18651,20474,21752,22635,24074,24417,24613,24718,24723,24765,24794,24797,24798,24798,24801,24805,24809,24812
El Salvador,Unknown,13.7942,-88.8965,0,0,1,10,46,174,448,717,843,975,1114,1327,1623,1854,2006,2124,2249,2381,2629,2918,3234,3629,3776,3824,3899,4071,4119,4128,4132,4144,4194,4223,4229,4230,4230,4230,4230,4230,4230
Equatorial Guinea,Unknown,1.6508,10.2679,0,0,0,1,12,32,83,83,83,83,85,86,86,91,102,112,118,121,123,126,147,167,175,175,182,182,183,183,183,183,183,183,183,183,183,183,183,183,183
Eritrea,Unknown,15.1794,39.7823,0,0,0,0,0,0,0,0,0,0,0,3,7,7,10,10,14,23,35,38,42,45,60,76,98,103,103,103,103,103,103,103,103,103,103,103,103,103,103
Estonia,Unknown,58.5953,25.0136,0,0,4,52,68,69,69,69,64,73,118,229,419,589,902,1161,1252,1269,1272,1292,1357,1531,1800,1932,2036,2236,2459,2539,2574,2591,2620,2651,2681,2739,2790,2854,2912,2940,2946
Eswatini,Unknown,-26.5225,31.4659,0,0,0,1,2,11,41,91,109,117,122,205,565,652,667,671,673,678,787,1101,1220,1242,1248,1303,1375,1390,1394,1397,1409,1416,1417,1422,1422,1422,1422,1422,1422,1423,1425
Ethiopia,Unknown,9.145,40.4897,0,0,0,3,11,103,274,809,1198,1469,1706,1923,2093,2365,2865,3688,4165,4320,4385,4675,5582,6459,6755,6937,7337,7462,7497,7510,7513,7536,7568,7572,7572,7572,7572,7572,7572,7572,7572
Fiji,Unknown,-17.7134,178.065,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,4,21,238,496,624,674,696,698,801,834,834,862,864,866,870,878,878,878,878,881,883,883,883
Finland,Unknown,61.92411,25.748151,0,0,51,256,305,309,312,314,329,350,442,592,703,784,882,932,975,984,1005,1057,1118,1245,1478,1714,1990,2366,3144,3939,4522,4875,5012,5577,5981,6568,7265,7933,8639,8892,8967
France,French Guiana,3.9339,-53.1258,0,0,0,1,1,15,43,59,66,70,70,71,76,85,89,100,116,145,185,215,262,306,327,338,371,391,394,395,397,401,404,408,410,411,411,411,413,413,413
France,French Polynesia,-17.6797,149.4068,0,0,0,0,0,0,0,0,7,29,75,114,131,139,141,141,142,142,149,436,621,636,636,636,636,639,646,648,649,649,649,649,649,649,649,649,649,649,649
France,Guadeloupe,16.265,-61.551,0,0,4,12,14,14,14,16,57,126,149,155,157,164,173,211,255,267,280,508,769,815,823,835,844,918,931,942,947,955,965,986,989,993,995,997,1007,1010,1010
France,Martinique,14.6415,-61.0242,0,0,3,14,14,14,15,16,21,30,40,42,44,45,50,70,95,99,104,411,626,681,710,777,832,871,913,918,918,965,992,1022,1042,1047,1071,1076,1089,1092,1092
